Id	SE_HS	SE_PT	SE_#1#	SE_GG	SE_NL	SE_TreeFull
ENST00000367255	0.0006743889765231348	0.0004350297682091349	0.00032722071219115314	0.0005701130020887759	0.0010782160777851122	0.0014704353183197703
ENST00000570156	0.0008146237109809212	0.0009852359284080873	0.0008376296958919259	0.001332600196890807	0.002312823255586647	0.0029866897999507903
ENST00000424728	0.0009221617360654966	0.0009326883888884767	0.0007430652349221903	0.0011111561974667375	0.0023559039878135236	0.0029225246296911535
ENST00000358025	0.0009253773671895877	0.000862895703060434	0.00029334373307476344	0.0009949612123709875	0.001778872689766114	0.0024053729933975455
ENST00000405460	0.0009384619701173984	0.0008115206485357999	0.0004378128049160163	0.0009712120513659176	0.0014502824979048185	0.0021322524021715125
ENST00000378024	0.012443532607880992	0.008554024496741645	0.009136844316741177	0.012358953689352421	0.021732160509604127	0.02979199150876216
ENST00000369393	0.0007448987199453269	0.0007300858399713106	0.0004803697357958905	0.000962727697300264	0.001648522251978216	0.0022457725022192493
ENST00000301067	0.0007589863752136126	0.0006081559988074431	0.000622242065891665	0.0007765172876263422	0.0012879258181457951	0.0018790559598717835
ENST00000447166	0.0013599345319194197	0.0012041676517428178	0.0008263463975650772	0.0013601806050390617	0.003115663389481726	0.003870863142924061
ENST00000508628	0.001207857939529804	0.001338388456748784	0.0007329040939219174	0.0012051002520906326	0.0038997401234735496	0.004329859641213664
ENST00000307340	0.0010777164913433586	0.0010540163969988516	0.0005467877784278843	0.0010877493051208843	0.0019528181416832513	0.002744162258401461
ENST00000393567	0.000955645615070809	0.0010010751915917357	0.0005049082400123101	0.0009793440448098653	0.0023744410050981226	0.0028504887179579123
ENST00000264501	0.0005238048976733741	0.0004980771788989207	0.0003447152800762036	0.0006196796825689713	0.0010930848296468237	0.0014374053207152993
ENST00000394329	0.0006561783975306911	0.0007834726056432651	0.0002021997122642116	0.0007630647838439804	0.0011466279801398756	0.0017081097044465902
ENST00000622037	0.0005841864817980763	0.0004661938504067354	0.00037440200376554205	0.0005063467282924778	0.0010088750077951933	0.0014272717480950077
ENST00000443617	0.000576000084529815	0.0005483574296465869	0.0003022501896463619	0.0005740214409602181	0.0006853305799985426	0.0012709478261096912
ENST00000435803	0.001274186643972731	0.0011921093099822183	0.0006577250037643185	0.0013160697734395166	0.0025698570335564584	0.0033939491862554926
ENST00000421745	0.0006487857362776583	0.00045647626662353264	0.000199793219648047	0.0003628854052048244	0.0008616058202648662	0.0012259643950306332
ENST00000262189	0.0009699735755103009	0.0008406112422212232	0.0004766473128852695	0.0010754450933222516	0.0017363827685101987	0.00249256361883935
ENST00000327475	0.0007778874399067307	0.000627273413697558	0.0004305273176955882	0.0010343858168569134	0.0015276029213744625	0.002121661117065683
ENST00000366574	0.0003812942795958233	0.0005165831319019701	0.0002263939007719234	0.0003003744868165578	0.0008122075900441042	0.001129550627707357
ENST00000360184	0.00021917314995005175	0.00037013688105619883	0.00021806918947264768	0.00030148855404383434	0.00021079060021950418	0.0005921298611354823
ENST00000544440	0.00044881740916798086	0.00022261692270069173	0.00031941734943034133	0.0002999911521464289	0.0008703878799894099	0.001098548417948315
ENST00000649046	0.0007470129213137497	0.0008277618150134041	0.0003879956459552365	0.0007696255635734579	0.0014785610816150936	0.002063465379932347
ENST00000261609	0.0024933682266794015	0.002434876756820694	0.0023485607917662203	0.006138256466668484	0.0024598094203786077	0.00784977244111376
ENST00000265104	0.000760951315880554	0.0008598092599289646	0.00022513667684122501	0.0008858518161633383	0.0016869339944488217	0.002223276644904958
ENST00000389484	0.0007971609800295759	0.0007434618146249404	0.0005328529697706178	0.0007653095893960421	0.0013628271545347785	0.001954851246045073
ENST00000409404	0.0006887012495282899	0.0008566780140609516	0.0003769194735552591	0.0006950080808167722	0.0012707529193111268	0.0018768088045764892
ENST00000243077	0.0006604708205199496	0.0004274909341505417	0.00025594138522580046	0.00025298666777499466	0.0011715394610202013	0.0014475301512627834
ENST00000624552	0.0010597864984941497	0.0009548668731674377	0.0004778112020289397	0.001297052484709695	0.0023751524659154687	0.0029887331407286405
ENST00000290607	0.0011799579301254898	0.001129696089314981	0.0009244860251106656	0.0017412194173822683	0.0030467179520849994	0.003929036975029546
ENST00000409039	0.0009461519856741535	0.0008448602609045328	0.0006697288608769215	0.0010732650199539332	0.0017608044133039303	0.0024748865929063056
ENST00000233242	0.0011913925036417042	0.0011871786172322474	0.0006775597593225852	0.0013365445315280454	0.0023315787709732145	0.0031697837412239783
ENST00000254579	0.0010777224767733085	0.001305743052670574	0.0005443096302287102	0.0013290897630668448	0.0022899040478605993	0.003076945199997673
ENST00000620169	0.00110852463885167	0.0010550968828628652	0.0005952134813530507	0.001290884624025532	0.0018735681798807628	0.0027081950131925313
ENST00000614102	0.0012413942896337719	0.0010566610024322055	0.0003928436693348355	0.0009405995443909961	0.0019053583959672176	0.002681224384171547
ENST00000262442	0.0009231984029314499	0.0010196128646585262	0.0005919518437084501	0.0009395164843813025	0.0021843384132924264	0.002726312301048615
ENST00000572933	0.0011145630054130566	0.0009292267619799057	0.0007420885738038583	0.0011475342399915043	0.002011220589741728	0.00272650640607065
ENST00000280772	0.0007516665459696932	0.0006805025209015796	0.0003615102476202659	0.000697426812676062	0.001079551526399267	0.0016556241330855752
ENST00000374695	0.0011714404923936347	0.0008969055455709286	0.00043789315443868636	0.001046671136319591	0.001699688142103849	0.0024977344561265317
ENST00000261800	0.0009366672650647086	0.0007812256542010197	0.0002530701994293997	0.0009499748383308204	0.0016483541026420532	0.0022328138560579946
