Id	SE_HS	SE_PT	SE_#1#	SE_GG	SE_NL
ENST00000367255	0.030809968844050697	0.021203208608596757	0.016117666091097365	0.02690876631881484	0.03868660830752363
ENST00000570156	0.012059910911376292	0.014390598858541995	0.012573835293088179	0.018668094859650108	0.023800941090015668
ENST00000424728	0.015574630770522601	0.015294299939622284	0.012294255278079452	0.017782666908413413	0.02627729763357439
ENST00000358025	0.0215453990875557	0.020351230715254822	0.00722075354049061	0.022949522834566933	0.030109865053076532
ENST00000405460	0.027824987794841164	0.02441095250144342	0.013854214682028578	0.02789873486560828	0.03571849117390583
ENST00000378024	0.1121764978158195	0.07842123283145505	0.08396738179280507	0.11275554496889656	0.1567808193905077
ENST00000369393	0.02687345154251502	0.0271504315929501	0.01810314381536421	0.03387015959138481	0.04352904762420163
ENST00000301067	0.03763506390963598	0.030934019996064183	0.03173953560357511	0.03891589410152909	0.05317544727255559
ENST00000447166	0.016960039514064877	0.014870823606965875	0.010868106711507997	0.016792091373600743	0.026309004582204313
ENST00000508628	0.011847152983355603	0.012786126827430777	0.007266978072498914	0.011699520407794144	0.019639119397483848
ENST00000307340	0.02495310954935254	0.02433608685447652	0.013473869422093976	0.02521289873438388	0.034672598986157856
ENST00000393567	0.020873705728828566	0.021523892347775367	0.011514442819930193	0.02175785037944267	0.03262077365916828
ENST00000264501	0.04573144566655026	0.04329914917884201	0.030730811138681247	0.05193585769931341	0.07088008553461618
ENST00000394329	0.04081823610579183	0.04739825316620061	0.01347567682020383	0.045735160777520566	0.05661964248545118
ENST00000622037	0.05738407516706219	0.047553891572226996	0.03942427468418761	0.051012188605262486	0.07678146506190595
ENST00000443617	0.06713665049409395	0.06523713364638029	0.03926542059778517	0.06732391855519528	0.07404751431632273
ENST00000435803	0.020555763515421474	0.019721371687961585	0.011249181924341673	0.020350290903597065	0.029641218652106102
ENST00000421745	0.07331087040278672	0.056118456133513815	0.026358807771120877	0.04654507334230812	0.0842805477370664
ENST00000262189	0.03138005043684405	0.027642031289934723	0.01666341426303284	0.03404286149756051	0.04355110950094665
ENST00000327475	0.03485792899752239	0.028771214618642047	0.020526602402145096	0.04308065758501776	0.05115288507139793
ENST00000366574	0.06804465458219329	0.08294127105069592	0.04189011765257157	0.0541655305889329	0.1020696855604258
ENST00000360184	0.13031093377348812	0.1945231042770772	0.12705289644758413	0.16577418761329923	0.12645132411261037
ENST00000544440	0.07664361204352851	0.040710485159265945	0.05763486887715241	0.05475247719616013	0.10331880004980752
ENST00000649046	0.03735713706971375	0.04003495570517056	0.020071022491407315	0.03878974108568484	0.05551757401955033
ENST00000261609	0.10352702915751416	0.10309949654249877	0.09913859369386026	0.16551527004501415	0.10288820242478086
ENST00000265104	0.03006945562024519	0.03438125126786283	0.009594430298326068	0.033964771354677986	0.04613430402299124
ENST00000389484	0.041276099182304765	0.03829451447326143	0.0286282158095508	0.03930647861924393	0.05559287771116889
ENST00000409404	0.04232173864748862	0.051512499516755135	0.024219176104088296	0.04240359343908457	0.06145904189341158
ENST00000243077	0.07938029362093897	0.054306088163255925	0.03304611393654259	0.03325670578558954	0.0937281691921411
ENST00000624552	0.02449459922940524	0.022134419114362074	0.011400952255796007	0.028275326250581247	0.03661020669251466
ENST00000290607	0.015553179138801606	0.014950170916925616	0.012428642813965373	0.02144005492568048	0.027049767859339154
ENST00000409039	0.03222984154222778	0.02889271542366086	0.02385964836135575	0.03477675159274286	0.04539894017091304
ENST00000233242	0.024137833631519456	0.023309794548657087	0.013935325084807042	0.026081081846326157	0.03455038790236135
ENST00000254579	0.02372669774828389	0.02785539628901146	0.012408000009771894	0.028096942251586293	0.03689528435081429
ENST00000620169	0.02841048929993592	0.02823200790880078	0.016429281959997485	0.033064891313235825	0.039973440995706974
ENST00000614102	0.0327234801480705	0.028716254175709992	0.011572907821604052	0.026671456190038727	0.040297355914487125
ENST00000262442	0.026441939523487865	0.02872667547956184	0.01727513507506687	0.026845307017119853	0.04183053156314629
ENST00000572933	0.030109260419085668	0.02561279597594716	0.02086153768965553	0.031076935192595898	0.0419054495686698
ENST00000280772	0.06072183116478226	0.055445460332652394	0.030984959651477115	0.058412070304803214	0.07439216366196517
ENST00000374695	0.04248701890737601	0.03403591623482108	0.017746617337143476	0.03913114703970876	0.05246806011871534
ENST00000261800	0.04225289249465416	0.036412959678962666	0.012445682479269835	0.0430876036351149	0.05727366740332267
ENST00000342160	0.06465866261357452	0.08709427607721087	0.10879746278247925	0.11235695894684747	0.11454108334751939
ENST00000377560	0.07467429477061305	0.07699294855666236	0.07353253069743876	0.07767431237608086	0.10711947869734223
ENST00000420323	0.023343309694095246	0.02557749426534242	0.021868321851762754	0.03702376155003823	0.039946398653012895
ENST00000378402	0.029768141528160104	0.027242500357719142	0.017803472118148592	0.027484231373695236	0.042161259415811066
ENST00000635942	0.019578089264957754	0.01937492835663555	0.01912091144988951	0.024602104263459865	0.03342428269184146
ENST00000620676	0.043220943095464606	0.04294848434348381	0.01722116350545995	0.045463351268787144	0.06490122912092368
ENST00000261383	0.030398719938287508	0.029126624837632082	0.021753310804740782	0.037211270437169	0.049269447681043625
ENST00000613296	0.02058532952342176	0.021763082241565274	0.007591615327846179	0.021454574161697635	0.030385497279835152
ENST00000312428	0.034892520435111735	0.03093447561379205	0.010328066434347229	0.041560116014996804	0.05013858040007868
ENST00000446378	0.02036762687207245	0.02132786206550881	0.015287990217153801	0.025851451051651538	0.03387853682062909
ENST00000512123	0.03207272010441855	0.025523995130770707	0.020375849989315686	0.03161381957780441	0.04295577802661955
ENST00000358544	0.0867792892450153	0.06795255558054547	0.10354123336101047	0.07330175444921717	0.11211022409478755
ENST00000672209	0.035001633013580266	0.03244728037397891	0.023566716236015025	0.036945240222448064	0.05355390992352925
ENST00000359028	0.031077336536422615	0.029399356933398842	0.01930994386647813	0.035627949709057735	0.04574940988753739
ENST00000296452	0.03671687275843238	0.04042757691391115	0.021966096359908864	0.04121133727187929	0.05805094468499995
ENST00000371117	0.02366794449345586	0.019983524782341708	0.013385533020573182	0.028352875486431003	0.03547442873380234
ENST00000389793	0.039302909239923814	0.039267546805177904	0.009973955956681324	0.03128662470103719	0.052285398316017126
ENST00000297405	0.059532817493611834	0.05577870956480369	0.02358631655648685	0.05835131673085569	0.0760537255415419
ENST00000357033	0.05486703787699135	0.03991970653277346	0.027390817918344083	0.04633779417262147	0.06621564243128839
ENST00000644861	0.045145489652552065	0.04743909531845464	0.018159562393038547	0.034943313596652655	0.0566059548335465
ENST00000375759	0.031169292321130533	0.03293003580999775	0.025476097142507485	0.04005436626651081	0.05323049416562465
ENST00000268489	0.04420762918737302	0.05159543836473776	0.028862773878452198	0.05720436149488047	0.07091646563881482
ENST00000651372	0.06163193881290478	0.044662614901540054	0.02417559733269122	0.0629345035101031	0.07807523226827191
ENST00000401783	0.03551105144345744	0.03550791974321797	0.018231041237382492	0.03613328131262358	0.05319698983898351
ENST00000398571	0.0625667320372107	0.05873930758652592	0.03771799639040474	0.08933098173267938	0.09570505797290832
ENST00000520002	0.03623928501483264	0.02548483879480745	0.025199804257499275	0.040690325074366214	0.053268843739471244
ENST00000314191	0.045793204774296006	0.045761841124719774	0.028013264711205844	0.04670075835403803	0.06790961247727224
ENST00000373381	0.03576254159941399	0.036593669999558785	0.020269963703173115	0.04316602982020151	0.05871253175731267
ENST00000424685	0.06358311374916814	0.06394217011957622	0.0452750972975073	0.06767611008456816	0.09247100913033417
ENST00000634258	0.05377796951649519	0.06098403219079082	0.03385980069441991	0.058682797366687446	0.07710199049569316
ENST00000367409	0.028716494611900865	0.024501450669842842	0.022294870969674037	0.035002203907425276	0.042363708485055225
ENST00000367545	0.03854180909674064	0.04158574980309714	0.026334639688959	0.04589779564506113	0.05976579130037921
ENST00000295888	0.05135995734434076	0.08431644923246173	0.03764136303906053	0.080660340057034	0.1004714906081624
ENST00000252999	0.0455009655471817	0.024805162167267393	0.02197895031744489	0.053039369326272394	0.06245149380068591
ENST00000380152	0.01659387939111233	0.017380402337871675	0.006768465850090675	0.020107321309342993	0.03053282636656758
ENST00000299441	0.04132880949525859	0.0509695770065122	0.023162298646231594	0.04052204142657315	0.06562875680934235
ENST00000164024	0.044836614433542435	0.04979168274542412	0.03148034290391158	0.04982943097229711	0.06578116927554188
ENST00000377833	0.02728751836126338	0.02894897866838864	0.01330811439951403	0.037112468178492446	0.04384264593939576
ENST00000359863	0.12234493380807626	0.16452038585695009	0.1340700003283877	0.13080918669458153	0.181280857565951
ENST00000393667	0.02855682732596753	0.029403670653472536	0.011579208344446531	0.03174473829081709	0.04524477266713265
ENST00000359568	0.02308305143742542	0.024049926785852802	0.016774267671785796	0.026749310635118078	0.03635370035958668
ENST00000368654	0.017987891918249902	0.01790777912441484	0.01389570800281454	0.02249003803217431	0.030513094547453046
ENST00000295550	0.049031194141300936	0.042461136624613816	0.03567304604867956	0.04077773528408948	0.06681630038336524
ENST00000360280	0.026828649750871895	0.035402282211592806	0.02961058478342857	0.03548623715784552	0.053535563450774926
ENST00000439458	0.06977853650675218	0.048151021099356026	0.048628289945307074	0.08857563829137188	0.09456279343894748
ENST00000262518	0.03834384562329017	0.04074061787855297	0.025458527182050935	0.04797972649889561	0.06543175998651525
ENST00000370621	0.02526539267070216	0.02640389706024335	0.0177128833391886	0.027378477883795438	0.039859800466713675
ENST00000638951	0.024773372437294133	0.01872233039678995	0.016096616897540474	0.028250564069962174	0.036201955693595606
ENST00000615845	0.02343330237510231	0.02908477595208219	0.021593550526308982	0.03882022386240117	0.047583377376424985
ENST00000322507	0.039039422020027616	0.05012578736038717	0.044497068672975995	0.05206487421504563	0.07591465259492894
ENST00000367607	0.021751682146764442	0.03203683642951991	0.028597514333638194	0.03782628332193896	0.049717749919635415
ENST00000508244	0.022468855477061123	0.024697364626286116	0.01949799330115727	0.03065099992558255	0.039284170015739736
ENST00000313654	0.027823672652661637	0.03091332486921647	0.029844465992060278	0.03720672968632394	0.05038089391851041
ENST00000355072	0.0507823035460001	0.043671789792620194	0.03024133988294387	0.03858902283038369	0.06620701135534736
ENST00000543779	0.05601251174495191	0.06260180608583867	0.025329011233336335	0.06165113222262425	0.07848914363443142
ENST00000421865	0.037683994547903193	0.04381608737575798	0.02644748876632112	0.04223837484601096	0.058797070560743785
ENST00000389658	0.02809384052862506	0.03653097527488332	0.02166933559740368	0.03487627193173232	0.051924782039939575
ENST00000394143	0.023337849898726334	0.021840796325321685	0.019979279705477707	0.027333864532282252	0.03666966589764136
