Id	HS	PT	GG	NL	#1#	TreeFull
ENST00000000412	0.28918442895045704	0.2953642657168817	0.44626642285674506	0.1521699267115576	0.49235918564607556	0.12459462335969779
ENST00000000442	0.06514871716270207	0.07808149886584759	0.09126839903663853	2.098717889944687e-05	0.2696757159210737	6.067354944901854e-05
ENST00000001008	0.3663173724813257	0.08527653937677454	0.03173322898507486	1.1917113032417125e-05	0.26224715700375956	4.062299501050561e-05
ENST00000001146	0.492773232681591	0.024487335639402894	0.008827180981217497	5.243991530108537e-08	0.1775622554017195	2.9371739613838058e-06
ENST00000002125	0.3544933452848956	0.0720814303831145	0.25118661713135815	0.21561421286357635	0.12683346286992453	0.030722925132763958
ENST00000002165	0.0484848913272139	0.05966149304062412	0.014760750004700597	0.3003747577919752	0.21772005507040615	0.012049874909290516
ENST00000002596	0.21613166767483477	0.22630868914119773	0.4792179926445221	0.007024868950898706	0.4358924714782912	0.005473967008005353
ENST00000002829	0.4040525197516426	0.0002125308914282337	0.454690435838603	3.2662550305294037e-05	0.24882362105710043	0.00017506712689801496
ENST00000003084	0.011457545677095718	0.0010100656448702597	0.0010281001684650053	6.76657928893627e-05	3.823837525926824e-06	3.0993637311069476e-12
ENST00000003302	0.001768102144430796	0.002284115594725559	0.009495657235333297	3.905024221391285e-05	0.001126112834446118	6.098257258482998e-11
ENST00000004531	0.015566026184730214	0.19136020173027574	0.19143955470635587	0.30414274197242297	0.06363276866944564	0.007080125266864386
ENST00000004982	0.47916516224657063	0.47367834549094534	0.45656198948231663	0.24717569889326257	0.3500353305566417	0.26880170226055955
ENST00000005178	0.39605410878800457	0.09019529808166793	0.2845162453200406	0.04099029059132509	0.2772414092410779	0.01628150393899209
ENST00000005226	0.23766570562054273	0.3126976397047846	0.48713808825810123	0.003076313419668602	0.009466519199640375	0.004777913224456818
ENST00000005260	0.03979480099497721	0.43763353089083584	0.01255093322972122	0.44928990739250385	0.4489368541336564	0.11129047819671734
ENST00000005286	0.2100324234348812	0.2070900906984442	0.0006364862324062966	0.41049705949505333	0.11259920997416084	0.020866567331257732
ENST00000005340	0.00046274166729744714	0.0008687813951582941	0.016968101300105558	0.00020906839540708278	0.04172436164764496	8.227964054340822e-10
ENST00000005386	0.42030143870450776	0.38117659152530586	0.4550825894480983	0.12371409662454447	0.08438127979093363	0.10566739378920748
ENST00000005558	0.4017866434732704	0.057510773309489185	0.23894055134171632	0.019666580478899926	0.2505879184271169	0.008566363429846074
ENST00000006275	0.49153998486946593	0.49791282045565033	0.4179449883200155	0.07365946866545546	0.3684218984834545	0.08385942180454803
ENST00000006658	0.21292027098972832	0.051368533744300386	0.1169857360865258	0.3511512120383211	0.27040313116697634	0.048069152734039694
ENST00000006777	0.26954963275443977	0.25616037857169915	0.2865477047764279	0.1489437479583282	0.2269355263688358	0.0450476097498685
ENST00000007390	0.4353405688392183	0.14254705509415355	0.36586411746387504	0.0017883238493713797	0.1950970134349561	0.0006613710229582785
ENST00000007414	0.20338108157048962	0.20965767961835224	0.010565756743519806	0.04977883805493411	0.030545102710097697	0.001279856438490187
ENST00000007516	0.4710269179902692	0.4627296215806235	0.4670750945866092	0.06709793509687034	0.35095080853113225	0.07606410979379782
ENST00000007722	0.36151339908907776	0.3742766474160099	0.017319026374265457	0.2908296589119874	0.0021978315998881183	0.02456702444112538
ENST00000007969	0.4330221309689455	0.4241087863098482	0.484464837066611	0.18820469761218067	0.13299232841349262	0.11591016078004657
ENST00000008938	0.01015920767950754	0.27543180162552666	0.02676262232217803	0.09062022569503525	0.4077395758479529	0.00042042618778126537
ENST00000009041	0.3570634080597197	0.37151760721917626	0.27394945179800323	0.2352066543408926	0.4616114703450925	0.15436485144395867
ENST00000010299	0.2956043824189273	0.31048730047082757	0.21234397483059503	0.024679440821435875	0.4984985404365027	0.03072150906935102
ENST00000010404	0.4687307945542135	0.22310095892848492	0.469601050701265	0.16471666812977676	0.3507725634843274	0.11052053696408348
ENST00000011473	0.4419671333780412	0.447844339368042	0.3670214996051271	0.26127785457104835	0.4025384113247622	0.21486427502469618
ENST00000011653	0.04284522037595225	0.13797475087234223	0.03989159919118307	0.023845879463146445	0.12803028583081444	0.0004019332653639251
ENST00000011684	0.03143722630900781	0.0359906343810944	0.2681785394347175	0.04111885745944574	0.23804508536832142	0.0034447715832351304
ENST00000012049	0.4335608265742884	0.4261433814383645	0.14918525389300796	0.07786925827375711	0.4391586907165083	0.06005485439027282
ENST00000012134	2.610079976811502e-05	4.214758199282221e-05	4.345758330696743e-11	3.504549328463993e-10	1.549413540570562e-07	2.885774053369006e-28
ENST00000013125	0.00011137838547558247	0.15838496240076544	0.43454847603478597	1.0542811378787478e-08	0.015401898177547587	3.4740667207013635e-07
ENST00000013222	0.20015436194861486	0.30618983436928704	0.44333240964472337	0.030197750928909178	0.4955910466449131	0.021160743797821645
ENST00000013807	0.13088821953016166	0.4868798795216176	0.2965500342583125	0.19156433390641642	0.3783414249035065	0.07586092002461954
ENST00000016171	0.1315018801379031	0.13208346860186676	0.3868657936859562	0.38877879008833227	0.3440220882904651	0.13035508241504162
ENST00000017003	0.017216293476112927	0.1437801971242727	0.3504819034857892	0.0004048121688817981	0.1765615147080551	0.00018175392101775956
