Id	HS_Subs	PT_Subs	GG_Subs	NL_Subs	#1#_Subs
ENST00000000412	0.12476722397950926	0.12476722397950926	0.24999913142974362	0.3756991966317287	0.12476722397950926
ENST00000000442	0.09059755482760726	0.09059755482760726	0.5467993054433271	0.18140803007385123	0.09059755482760726
ENST00000001008	0.28585740537322274	0.14276172975118487	0.14276172975118487	0.28585740537322274	0.14276172975118487
ENST00000001146	0.3753639605308096	0.12487875829673288	0.12487875829673288	0.24999976457899165	0.12487875829673288
ENST00000002125	0.1330201545715202	0.06643483957758402	0.1330201545715202	0.40087990299272225	0.26664494828665347
ENST00000002165	0.09053751173683766	0.09053751173683766	0.09053751173683766	0.6378499530526495	0.09053751173683766
ENST00000002596	0.04912878863962833	0.04912878863962833	0.0984173459787537	0.7541962881023613	0.04912878863962833
ENST00000002829	0.23526725282193423	0.05870380040726186	0.2942730664333215	0.2942730664333215	0.11748281390416093
ENST00000003084	0.15975959181141924	0.11977927793775607	0.15975959181141924	0.5208020200865919	0.03989951835281361
ENST00000003302	0.12481521990058722	0.12481521990058722	0.18731125376213553	0.5006801340426227	0.06237817239406739
ENST00000004531	0.31443010213912403	0.17086752767703348	0.0852433462008216	0.4010866811615128	0.028372342821508006
ENST00000004982	0.1664969439563079	0.1664969439563079	0.1664969439563079	0.33401222417476834	0.1664969439563079
ENST00000005178	0.1998545932544892	0.09980690217744968	0.1998545932544892	0.4006770091361223	0.09980690217744968
ENST00000005226	0.26932507252444016	0.15363686377363542	0.23071827294624817	0.30797606993664073	0.03834372081903555
ENST00000005260	0.0621736217381235	0.18690958597831892	0.0621736217381235	0.5642665333822504	0.1244766371631838
ENST00000005286	0.24200274313701714	0.12075815207606162	0.06031851523909891	0.5166020743087233	0.06031851523909891
ENST00000005340	0.09984610646184874	0.09984610646184874	0.19983176028770958	0.5006299203267441	0.09984610646184874
ENST00000005386	0.19979124157127898	0.14972381140198623	0.19979124157127898	0.4008652607341097	0.04982844472134613
ENST00000005558	0.2727824772469996	0.09072354250053423	0.18165072948726144	0.36411970826467055	0.09072354250053423
ENST00000006275	0.08991770681374978	0.08991770681374978	0.08991770681374978	0.6403291727450008	0.08991770681374978
